Date,Open,High,Low,Close,Adj Close,Volume
2018-09-26,5.530000,5.600000,5.480000,5.500000,5.500000,23300
2018-09-27,5.480000,5.700000,5.480000,5.570000,5.570000,49000
2018-09-28,5.480000,5.480000,5.050000,5.060000,5.060000,150200
2018-10-01,5.150000,5.150000,4.260000,4.280000,4.280000,450500
2018-10-02,4.570000,4.580000,4.370000,4.440000,4.440000,160900
2018-10-03,4.630000,4.790000,4.510000,4.780000,4.780000,149300
2018-10-04,4.600000,4.780000,4.440000,4.730000,4.730000,110700
2018-10-05,4.750000,4.780000,4.490000,4.670000,4.670000,83000
2018-10-08,4.780000,5.190000,4.780000,4.960000,4.960000,165300
2018-10-09,5.020000,5.280000,4.870000,5.080000,5.080000,139400
2018-10-10,5.080000,5.080000,4.760000,4.810000,4.810000,70600
2018-10-11,4.960000,5.010000,4.680000,4.750000,4.750000,93200
2018-10-15,4.900000,4.960000,4.650000,4.740000,4.740000,63200
2018-10-16,4.870000,4.880000,4.700000,4.790000,4.790000,53800
2018-10-17,4.750000,4.810000,4.650000,4.710000,4.710000,113500
2018-10-18,4.720000,4.730000,4.490000,4.500000,4.500000,184600
2018-10-19,4.680000,4.680000,4.460000,4.540000,4.540000,156200
2018-10-22,4.600000,4.900000,4.560000,4.840000,4.840000,221500
2018-10-23,4.820000,5.350000,4.730000,5.350000,5.350000,313300
2018-10-24,5.500000,5.580000,5.000000,5.000000,5.000000,278400
2018-10-25,5.100000,5.460000,4.860000,5.300000,5.300000,280400
2018-10-26,5.340000,5.470000,5.110000,5.380000,5.380000,172700
2018-10-29,5.370000,5.520000,5.250000,5.350000,5.350000,251200
2018-10-30,5.350000,5.680000,5.330000,5.630000,5.630000,245500
2018-10-31,5.680000,5.800000,5.540000,5.600000,5.600000,125900
2018-11-01,5.610000,5.700000,5.450000,5.550000,5.550000,107600
2018-11-05,5.560000,5.680000,5.500000,5.620000,5.620000,53100
2018-11-06,5.650000,5.660000,5.410000,5.480000,5.480000,77100
2018-11-07,5.490000,5.550000,5.200000,5.240000,5.240000,111400
2018-11-08,5.310000,5.400000,5.060000,5.140000,5.140000,115600
2018-11-09,5.100000,5.350000,5.100000,5.310000,5.310000,123200
2018-11-12,5.400000,5.520000,5.380000,5.380000,5.380000,122500
2018-11-13,5.450000,5.480000,5.340000,5.400000,5.400000,85800
2018-11-14,5.450000,5.450000,5.280000,5.330000,5.330000,87600
2018-11-16,5.380000,5.390000,5.130000,5.270000,5.270000,190200
2018-11-19,5.300000,5.310000,5.110000,5.160000,5.160000,118400
2018-11-21,5.180000,5.180000,4.990000,5.080000,5.080000,118800
2018-11-22,5.050000,5.060000,4.900000,4.920000,4.920000,171100
2018-11-23,5.050000,5.100000,4.860000,4.950000,4.950000,196800
2018-11-26,5.150000,5.300000,4.890000,4.950000,4.950000,7851400
2018-11-27,5.050000,5.090000,4.760000,4.950000,4.950000,7968200
2018-11-28,5.000000,5.030000,4.880000,4.950000,4.950000,5174600
2018-11-29,4.910000,5.110000,4.910000,5.040000,5.040000,7877100
2018-11-30,5.060000,5.180000,5.050000,5.180000,5.180000,6006800
2018-12-03,5.210000,5.290000,5.100000,5.120000,5.120000,7985300
2018-12-04,5.180000,5.240000,5.090000,5.150000,5.150000,6400000
2018-12-05,5.180000,5.240000,5.150000,5.200000,5.200000,5408800
2018-12-06,5.150000,5.200000,5.100000,5.180000,5.180000,2767500
2018-12-07,5.190000,5.220000,4.990000,5.040000,5.040000,6539300
2018-12-10,5.070000,5.110000,4.850000,4.870000,4.870000,4881800
2018-12-11,4.960000,5.050000,4.830000,4.950000,4.950000,4012900
2018-12-12,4.990000,5.020000,4.760000,4.780000,4.780000,9748000
2018-12-13,4.850000,4.850000,4.600000,4.700000,4.700000,12774000
2018-12-14,4.650000,4.690000,4.330000,4.350000,4.350000,13033700
2018-12-17,4.380000,4.480000,4.310000,4.360000,4.360000,6825100
2018-12-18,4.390000,4.660000,4.350000,4.580000,4.580000,10705800
2018-12-19,4.660000,4.780000,4.620000,4.660000,4.660000,12207900
2018-12-20,4.700000,4.800000,4.480000,4.580000,4.580000,9192300
2018-12-21,4.620000,4.640000,4.520000,4.560000,4.560000,3657000
2018-12-26,4.220000,4.460000,4.140000,4.300000,4.300000,11660000
2018-12-27,4.310000,4.450000,4.260000,4.320000,4.320000,61986400
2018-12-28,4.350000,4.490000,4.350000,4.390000,4.390000,6729600
2019-01-02,4.400000,4.480000,4.350000,4.380000,4.380000,9231200
2019-01-03,4.390000,4.400000,4.160000,4.310000,4.310000,8414100
2019-01-04,4.310000,4.370000,4.210000,4.270000,4.270000,5946200
2019-01-07,4.300000,4.370000,4.190000,4.240000,4.240000,5408700
2019-01-08,4.270000,4.270000,4.000000,4.040000,4.040000,11952000
2019-01-09,4.080000,4.090000,3.860000,4.010000,4.010000,18056100
2019-01-10,4.000000,4.420000,3.950000,4.420000,4.420000,30145000
2019-01-11,4.500000,4.550000,4.330000,4.510000,4.510000,23524800
2019-01-14,4.510000,4.880000,4.450000,4.820000,4.820000,18696600
2019-01-15,4.870000,5.180000,4.860000,4.980000,4.980000,32473600
2019-01-16,5.050000,5.190000,5.030000,5.050000,5.050000,17628600
2019-01-17,5.090000,5.100000,4.880000,4.930000,4.930000,19639200
2019-01-18,4.970000,5.050000,4.790000,4.880000,4.880000,16105200
2019-01-21,4.880000,4.960000,4.740000,4.800000,4.800000,10162500
2019-01-22,4.760000,5.040000,4.700000,4.930000,4.930000,21080700
2019-01-23,5.000000,5.170000,4.980000,5.160000,5.160000,24211400
2019-01-24,5.200000,5.520000,5.170000,5.490000,5.490000,30924100
2019-01-28,5.390000,5.720000,5.300000,5.350000,5.350000,31357500
2019-01-29,5.460000,5.670000,5.420000,5.670000,5.670000,23998500
2019-01-30,5.780000,5.870000,5.650000,5.770000,5.770000,29520300
2019-01-31,5.800000,6.030000,5.700000,6.000000,6.000000,29405100
2019-02-01,6.000000,6.160000,5.930000,5.960000,5.960000,21981300
